Time,TimeID,SERIES_G
Jan-49,1,112
Feb-49,2,118
Mar-49,3,132
Apr-49,4,129
May-49,5,121
Jun-49,6,135
Jul-49,7,148
Aug-49,8,148
Sep-49,9,136
Oct-49,10,119
Nov-49,11,104
Dec-49,12,118
Jan-50,13,115
Feb-50,14,126
Mar-50,15,141
Apr-50,16,135
May-50,17,125
Jun-50,18,149
Jul-50,19,170
Aug-50,20,170
Sep-50,21,158
Oct-50,22,133
Nov-50,23,114
Dec-50,24,140
Jan-51,25,145
Feb-51,26,150
Mar-51,27,178
Apr-51,28,163
May-51,29,172
Jun-51,30,178
Jul-51,31,199
Aug-51,32,199
Sep-51,33,184
Oct-51,34,162
Nov-51,35,146
Dec-51,36,166
Jan-52,37,171
Feb-52,38,180
Mar-52,39,193
Apr-52,40,181
May-52,41,183
Jun-52,42,218
Jul-52,43,230
Aug-52,44,242
Sep-52,45,209
Oct-52,46,191
Nov-52,47,172
Dec-52,48,194
Jan-53,49,196
Feb-53,50,196
Mar-53,51,236
Apr-53,52,235
May-53,53,229
Jun-53,54,243
Jul-53,55,264
Aug-53,56,272
Sep-53,57,237
Oct-53,58,211
Nov-53,59,180
Dec-53,60,201
Jan-54,61,204
Feb-54,62,188
Mar-54,63,235
Apr-54,64,227
May-54,65,234
Jun-54,66,264
Jul-54,67,302
Aug-54,68,293
Sep-54,69,259
Oct-54,70,229
Nov-54,71,203
Dec-54,72,229
Jan-55,73,242
Feb-55,74,233
Mar-55,75,267
Apr-55,76,269
May-55,77,270
Jun-55,78,315
Jul-55,79,364
Aug-55,80,347
Sep-55,81,312
Oct-55,82,274
Nov-55,83,237
Dec-55,84,278
Jan-56,85,284
Feb-56,86,277
Mar-56,87,317
Apr-56,88,313
May-56,89,318
Jun-56,90,374
Jul-56,91,413
Aug-56,92,405
Sep-56,93,355
Oct-56,94,306
Nov-56,95,271
Dec-56,96,306
Jan-57,97,315
Feb-57,98,301
Mar-57,99,356
Apr-57,100,348
May-57,101,355
Jun-57,102,422
Jul-57,103,465
Aug-57,104,467
Sep-57,105,404
Oct-57,106,347
Nov-57,107,305
Dec-57,108,336
Jan-58,109,340
Feb-58,110,318
Mar-58,111,362
Apr-58,112,348
May-58,113,363
Jun-58,114,435
Jul-58,115,491
Aug-58,116,505
Sep-58,117,404
Oct-58,118,359
Nov-58,119,310
Dec-58,120,337
Jan-59,121,360
Feb-59,122,342
Mar-59,123,406
Apr-59,124,396
May-59,125,420
Jun-59,126,472
Jul-59,127,548
Aug-59,128,559
Sep-59,129,463
Oct-59,130,407
Nov-59,131,362
Dec-59,132,405
Jan-60,133,417
Feb-60,134,391
Mar-60,135,419
Apr-60,136,461
May-60,137,472
Jun-60,138,535
Jul-60,139,622
Aug-60,140,606
Sep-60,141,508
Oct-60,142,461
Nov-60,143,390
Dec-60,144,432
